Задание: Расчёт значения ряда в точке. ui(x) = (-1)^i*2^(2i)*(i!)^2*x^(2i+1)/(2i+1)!
Автор: Николаев Всеволод Юрьевич    Группа: 2302       Версия: 1
Дата начала: 12.10.2022             Дата окончания:
eps = 0.00000000000000100000
x = 0.99899999999999999911
===========================================================
|  i  |            u            |            s            |
===========================================================
|   1 | +0.99899999999999999911 | +0.99899999999999999911 |
|   2 | -0.66466866599999996357 | +0.33433133400000003554 |
|   3 | +0.53067199466933279162 | +0.86500332866933282716 |
|   4 | -0.45395244115884758607 | +0.41105088751048524109 |
|   5 | +0.40270665798130761415 | +0.81375754549179291075 |
|   6 | -0.36536513397454817298 | +0.44839241151724473777 |
|   7 | +0.33658594068159980450 | +0.78497835219884448676 |
|   8 | -0.31351889836043211890 | +0.47145945383841236787 |
|   9 | +0.29448675207775026896 | +0.76594620591616258132 |
|  10 | -0.27842975342559173058 | +0.48751645249057085074 |
|  11 | +0.26464111652237520822 | +0.75215756901294605896 |
|  12 | -0.25262896419434061057 | +0.49952860481860544839 |
|  13 | +0.24203900053911950319 | +0.74156760535772492382 |
|  14 | -0.23260867700011433890 | +0.50895892835761058492 |
|  15 | +0.22413873734945349847 | +0.73309766570706402788 |
|  16 | -0.21647485549692768725 | +0.51662281021013634064 |
|  17 | +0.20949539128318964143 | +0.72611820149332595431 |
|  18 | -0.20310299256755698361 | +0.52301520892576891519 |
|  19 | +0.19721869266688971112 | +0.72023390159265865407 |
|  20 | -0.19177767166690889988 | +0.52845622992574980969 |
|  21 | +0.18672615424511876392 | +0.71518238417086854586 |
|  22 | -0.18201910055434597502 | +0.53316328361652254308 |
|  23 | +0.17761846116406365681 | +0.71078174478058619989 |
|  24 | -0.17349184011849036469 | +0.53728990466209580745 |
|  25 | +0.16961145789070383727 | +0.70690136255279967248 |
|  26 | -0.16595333782978463621 | +0.54094802472301506402 |
|  27 | +0.16249666131298245997 | +0.70344468603599752399 |
|  28 | -0.15922325175089022120 | +0.54422143428510727503 |
|  29 | +0.15611715807641843301 | +0.70033859236152573580 |
|  30 | -0.15316431581170464327 | +0.54717427654982109253 |
|  31 | +0.15035226919121019717 | +0.69752654574103134522 |
|  32 | -0.14766994175104783404 | +0.54985660398998348342 |
|  33 | +0.14510744569844921670 | +0.69496404968843272787 |
|  34 | -0.14265592254263984029 | +0.55230812714579291534 |
|  35 | +0.14030740910197744831 | +0.69261553624777039140 |
|  36 | -0.13805472424482792548 | +0.55456081200294249367 |
|  37 | +0.13589137267502054973 | +0.69045218467796298789 |
|  38 | -0.13381146281009595467 | +0.55664072186786706098 |
|  39 | +0.13180963637521211917 | +0.68845035824307920791 |
|  40 | -0.12988100778662847734 | +0.55856935045645073057 |
|  41 | +0.12802111175512395636 | +0.68659046221157471468 |
|  42 | -0.12622585782317455316 | +0.56036460438840018927 |
|  43 | +0.12449149077652267581 | +0.68485609516492285120 |
|  44 | -0.12281455605328270297 | +0.56204153911164012047 |
|  45 | +0.12119186942139813234 | +0.68323340853303826670 |
|  46 | -0.11962049031536516053 | +0.56361291821767312005 |
|  47 | +0.11809769832129760059 | +0.68171061653897069288 |
|  48 | -0.11662097238001277455 | +0.56508964415895790445 |
|  49 | +0.11518797234430529219 | +0.68027761650326323828 |
|  50 | -0.11379652258165377787 | +0.56648109392160950204 |
